modelo,metric,precision,recall,f1-score,support
V1,Saudável (0),0.8403361344537815,0.746268656716418,0.7905138339920948,134.0
V1,Risco (1),0.9347408829174664,0.9624505928853755,0.9483933787731256,506.0
V1,accuracy,0.9171875,0.9171875,0.9171875,0.9171875
V1,macro avg,0.887538508685624,0.8543596248008967,0.8694536063826102,640.0
V1,weighted avg,0.9149748887078824,0.9171875,0.9153373490845972,640.0
V2,Saudável (0),0.9019607843137255,0.6865671641791045,0.7796610169491526,134.0
V2,Risco (1),0.9219330855018587,0.9802371541501976,0.9501915708812261,506.0
V2,accuracy,0.91875,0.91875,0.91875,0.91875
V2,macro avg,0.9119469349077921,0.833402159164651,0.8649262939151894,640.0
V2,weighted avg,0.9177513849405934,0.91875,0.9144867361516982,640.0
