modelo,metric,precision,recall,f1-score,support
V1,Saudável (0),0.9761904761904762,0.6119402985074627,0.7522935779816514,67.0
V1,Risco (1),0.717391304347826,0.9850746268656716,0.8301886792452831,67.0
V1,accuracy,0.7985074626865671,0.7985074626865671,0.7985074626865671,0.7985074626865671
V1,macro avg,0.8467908902691511,0.7985074626865671,0.7912411286134673,134.0
V1,weighted avg,0.8467908902691511,0.7985074626865671,0.7912411286134672,134.0
V2,Saudável (0),0.9791666666666666,0.7014925373134329,0.8173913043478261,67.0
V2,Risco (1),0.7674418604651163,0.9850746268656716,0.8627450980392157,67.0
V2,accuracy,0.8432835820895522,0.8432835820895522,0.8432835820895522,0.8432835820895522
V2,macro avg,0.8733042635658914,0.8432835820895522,0.840068201193521,134.0
V2,weighted avg,0.8733042635658914,0.8432835820895522,0.840068201193521,134.0
