Filename,Rotulo_Real,Prob_V1,Pred_V1,Prob_V2,Pred_V2
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\83.png,1,0.70359224,1,0.57715505,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\582.png,0,0.044103514,0,0.07010851,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1289.png,1,0.9130702,1,0.9087066,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1734.png,0,0.33708823,0,0.278258,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1255.png,0,0.17477116,0,0.24210945,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1790.png,0,0.10133815,0,0.14835766,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1819.png,0,0.13456921,0,0.07287992,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\333.png,1,0.953157,1,0.9429918,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\465.png,1,0.58785164,1,0.7036387,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1489.png,1,0.7701465,1,0.7303156,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1644.png,0,0.1520193,0,0.13135006,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\569.png,0,0.3258305,0,0.32668245,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\482.png,0,0.09019672,0,0.16471027,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\588.png,0,0.12323033,0,0.13597474,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1408.png,1,0.7948019,1,0.7934647,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1730.png,0,0.37232748,1,0.33852616,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1623.png,1,0.83506054,1,0.86585605,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\574.png,0,0.11277846,0,0.12918055,0
